,storm_id,season,init_lat,init_lon,init_dist2land,PDI_max_wmo,PDI_max_usa,PDI_max_tokyo,Pres_min_wmo,r34_max_wmo,r50_max_wmo,r64_max_wmo,storm_speed_max_wmo,lon_weighted,lat_weighted,lon_variance,lat_variance,latlon_covariance,DayofYear_mean
1183,1183,1952,12.6,-48.7,933.0,97200000.0,97200000.0,,998.0,,,,9.0,-55.2479133605957,18.083080291748047,10.772766999430209,10.262657770887218,-10.45289702039618,271.1764705882353
1184,1184,1952,12.399999,-22.7,618.0,28800000.0,28800000.0,,,,,,12.0,-26.573904037475582,17.129512786865234,1.3181785529119057,13.601210444914196,-2.1314573341092773,271.5609756097561
1185,1185,1952,15.2,-51.0,1098.0,328049984.0,328049984.0,,968.0,,,,12.0,-50.50347900390625,16.498292922973633,0.5983142254656542,1.3829464521136483,0.6496853435485741,282.5609756097561
1186,1186,1952,11.399999,-77.7,244.0,852272768.0,852272768.0,,934.0,,,,18.0,-78.67913055419922,21.15891456604004,11.67566717137944,24.12677420558796,12.74491066853481,298.1044776119403
1187,1187,1952,22.5,-60.0,741.0,56250000.0,56250000.0,,992.0,,,,16.0,-58.72464370727539,26.83062171936035,7.240908375567437,2.823498437314458,-0.7825304478314737,332.3061224489796
1188,1188,1953,14.4,-81.8,151.0,95294120.0,95294120.0,,994.0,,,,14.0,-84.17915344238281,21.3504581451416,1.3602510767130935,27.87110986286544,-3.951893595177872,151.61165048543688
1189,1189,1953,26.099998,-81.3,0.0,41006248.0,41006248.0,,,,,,23.0,-75.66519165039062,31.91042900085449,13.118251752017162,20.36326483901368,15.560043625092437,194.42857142857144
1190,1190,1953,22.800001,-74.4,203.0,225280000.0,225280000.0,,973.0,,,,39.0,-71.80956268310547,35.68587875366211,38.96043691408305,71.48635266283304,45.30296140306852,225.56521739130437
1191,1191,1953,14.0,-20.499998,332.0,1210104064.0,1210104064.0,,929.0,,,,36.0,-51.55687713623047,25.77598190307617,239.0593839325536,206.03920556975385,-135.7257698507075,246.01980198019805
1192,1192,1953,26.3,-80.9,0.0,19293750.0,19293750.0,,1007.0,,,,17.0,-79.34127807617188,29.098726272583008,2.4637486852158323,3.873508757821608,-2.195984838246829,242.8
